day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0,,,,,1.02,1.7,9.346,,,,7.541,8.882,6.375,,7.47,11.787,,,,,,9.981,,,,6.222,,1.185,18.458,,,1.02,,,3.481,,,89.023,1112.789,12.273,0.828,,,,,,,,,,,,,,1.343,7.395,4.505,2.422,34.0,,224.242,,,,,118.861,105.955,135.223,2.448,1.683,,2.55,152.847,,9.18,0.184,,,,,,,,,,,106.596,39.356,726.334,843.996,20.577,286.344,254.288,191.305,124.519,84.048,22.067,19.979,,,20.557,,101.903,2.38,865.739,19.108,,8.364,,,,,,,,,10.155,,1.669,,,,,,1.36,423.402,194.943,164.374,2.04,24.35,459.98,4.386,441.597,,64.231,1.184,1.308,,,,,,,,,,47.417,68.578,0.632,220.32,10.86,18.728,,,,180.201,119.691,1.758,,,0.967,1.034,3.167,0.883,1.211,383.265,136.01,123.242,215.584,30.327,7449.342,801.805,822.96,528.36,2259.258,292.74,,,5.1,608.704,,,,57.553,,,,,,,139.469,,,,119.288,12.336,,,,84.207
0,60,,,,,1.092,1.575,9.595,,,,6.63,8.37,7.82,,6.514,8.982,,,,,,7.82,,,,5.27,,0.99,18.554,,,1.239,,,3.043,,,178.209,456.669,12.088,0.561,,,,,,,,,,,,,,1.275,6.12,2.097,2.38,33.405,,7.391,,,,,116.639,103.821,186.66,1.437,1.391,,2.04,19.894,,2.55,0.173,,,,,,,,,,,103.341,35.765,722.259,832.713,17.394,285.969,250.138,173.036,120.331,63.85,21.372,19.624,,,24.731,,90.325,1.02,664.591,4.59,,7.65,,,,,,,,,7.529,,1.19,,,,,,1.088,430.185,205.942,165.965,2.04,14.967,1932.827,3.575,435.346,,63.645,0.981,0.943,,,,,,,,,,33.333,8.566,1.117,,10.113,26.288,,,,136.786,111.613,2.446,,,0.739,0.807,1.216,0.67,1.063,381.219,176.12,6.12,212.743,54.13,12045.808,898.824,872.749,1356.43,4177.681,396.78,,,7.956,536.306,,,,71.888,,,,,,,15.785,,,,115.42,6.63,,,,97.155
0,120,,,,,1.133,1.02,9.588,,,,7.548,7.998,5.27,,7.694,10.737,8.16,,,,,7.548,,,,6.672,,0.962,18.291,,,1.384,,,3.017,,,229.343,433.004,6.454,0.538,,,,,,,,,,,,,,1.318,5.78,2.153,2.38,34.0,,7.221,,,,,115.483,103.163,179.775,1.02,2.04,,2.04,17.143,,2.499,0.186,,,,,,,,,,,103.915,35.999,723.907,834.262,21.48,279.446,252.883,173.895,118.007,70.571,21.068,19.734,,,19.382,,93.843,6.8,290.758,,,5.865,,,,,,,,,6.831,,1.669,,,,,,1.388,263.387,177.981,190.555,1.658,17.812,560.356,3.761,446.326,,67.749,1.087,1.059,,,,,,,,,,28.189,5.641,1.029,,9.979,21.279,,,,161.391,135.774,2.582,,,0.74,0.821,1.275,0.65,1.295,380.179,479.464,353.43,211.796,35.806,6081.805,797.266,724.912,952.793,1971.871,185.64,,,4.08,531.141,,,,86.417,,,,,,,9.618,,,,119.785,8.354,,,,102.298
0,180,,,,,1.046,1.504,9.992,,,,6.154,6.851,5.865,,6.468,11.329,,,,,,9.562,,,,7.65,,0.776,18.079,,,1.38,,,3.211,,,183.09,276.957,6.402,0.524,,,,,,,,,,,,,,1.466,5.355,1.938,4.972,39.882,,7.121,,,,,114.567,102.09,131.58,1.138,1.726,,2.38,17.133,,2.331,0.168,,,,,,,,,,,105.112,38.378,726.781,835.846,20.271,290.005,255.701,184.594,123.178,85.779,21.983,19.592,,,22.504,,101.156,2.04,422.322,,,7.14,,,,,,,,,7.933,,2.04,,,,,,1.02,295.46,189.42,170.147,1.7,25.082,1440.625,3.27,442.418,,67.262,0.931,0.953,,,,,,,,,,28.939,5.52,0.947,410.04,10.019,22.131,,,,132.406,163.774,1.51,,,0.726,0.821,1.402,0.657,0.802,379.498,356.97,245.8,210.776,34.381,4804.868,693.974,799.388,934.66,1355.388,330.48,,,3.825,579.896,,,,86.65,,,,,,,10.216,,,,122.811,5.756,,,,67.636
0,240,,,,,1.02,1.36,9.363,,,,8.093,8.154,8.743,,7.31,10.448,8.16,,,,,7.242,,,,10.611,,0.75,17.903,,,1.211,,,3.2,,,72.42,181.895,5.971,0.435,,,,,,,,,,,,,,1.122,8.925,2.38,4.59,37.74,,6.983,,,,,115.855,103.259,195.33,1.02,2.146,,1.669,17.221,,2.04,0.199,,,,,,,,,,,102.422,39.134,718.968,830.065,17.894,274.069,248.779,170.904,120.017,66.3,21.406,19.729,,,37.05,,95.572,,719.049,7.14,,4.59,,,,,,,,,7.395,,2.097,,,,,,1.402,277.149,193.253,172.065,2.04,9.89,435.877,3.441,411.096,,59.722,0.879,1.034,,,,,,,,,,32.335,5.502,1.821,,9.968,25.551,,,,119.718,159.422,2.002,,,0.745,0.831,1.19,0.652,1.324,380.98,449.375,449.112,207.06,34.771,1994.676,787.78,17061.701,1064.54,1999.723,406.98,,,4.08,516.213,,,,86.973,,,,,,,11.844,,,,127.782,7.471,,,,113.521
0,300,,,,,1.275,1.275,8.166,,,,7.318,6.173,5.327,,6.298,6.173,7.803,,,,,8.67,,,,5.81,,0.812,18.404,,,1.139,,,3.052,,,122.91,219.497,6.385,0.544,,,,,,,,,,,,,,1.955,4.08,1.813,2.04,41.82,,7.062,,,,,114.77,102.933,174.93,1.122,1.785,,,17.345,,2.465,0.207,,,,,,,,,,,105.616,37.5,726.658,833.62,18.508,289.572,252.373,182.699,119.736,118.854,21.388,19.361,,,22.147,,94.204,,245.35,7.14,,5.865,,,,,,,,,6.21,,1.19,,,,,,1.224,279.225,194.121,158.178,2.04,17.85,745.363,3.119,426.097,,68.287,1.033,1.007,,,,,,,,,,30.951,5.327,1.02,226.44,9.978,18.998,,,,158.787,155.36,2.724,,,0.756,0.836,,0.645,0.858,382.815,192.454,253.38,211.286,31.948,2684.494,784.244,876.879,894.285,1370.673,276.42,,,4.59,537.034,,,,79.48,,,,,,,10.103,,,,114.193,6.585,,,,77.538
0,360,,,,,1.02,1.02,8.019,,,,7.001,7.496,10.03,,6.699,10.659,,,,,,8.925,,,,8.5,,0.82,17.892,,,1.156,,,2.901,,,104.38,190.398,5.872,0.441,,,,,,,,,,,,,,2.338,8.67,2.754,2.55,39.576,,6.761,,,,,116.47,103.781,170.34,1.02,2.04,,,17.316,,3.06,0.197,,,,,,,,,,,103.797,37.849,728.441,835.041,16.652,265.729,254.481,171.448,118.782,59.16,21.075,18.937,,,36.758,,108.684,1.02,393.844,,,9.18,,,,,,,,,7.731,,1.466,,,,,,1.02,316.455,194.079,196.604,,22.213,919.43,3.106,418.878,,63.307,1.005,0.987,,,,,,,,,,29.912,4.648,1.02,,10.029,21.685,,,,151.371,118.952,1.73,,,0.748,0.808,2.04,0.62,1.22,381.257,728.563,542.46,221.194,36.122,1858.282,847.875,697.88,1011.585,1451.437,284.58,,,7.752,506.735,,,,83.799,,,,,,,8.865,,,,148.622,7.925,,,,75.598
0,420,,,,,1.224,1.53,8.458,,,,5.239,6.082,6.12,,5.705,6.921,,,,,,8.415,,,,4.654,,0.894,18.418,,,1.669,,,3.016,,,143.82,202.647,5.968,0.513,,,,,,,,,,,,,,1.87,5.1,3.003,2.38,34.85,,6.634,,,,,115.289,103.222,170.34,1.36,1.87,,6.63,17.111,,2.678,0.266,,,,,,,,,,,100.737,36.398,719.547,835.483,20.321,304.228,254.307,167.022,118.977,72.165,20.436,18.813,,,18.204,,106.451,2.678,1576.809,3.145,,4.896,,,,,,,,,6.46,,1.473,,,,,,1.139,284.289,178.912,163.555,2.04,20.243,413.58,2.852,434.948,,63.622,1.148,1.223,,,,,,,,,,30.108,4.35,0.51,,10.048,21.222,,,,166.991,188.506,1.778,,,0.763,0.84,2.186,0.638,1.057,384.131,316.54,309.315,207.133,32.675,6193.585,753.801,700.409,1015.07,1916.523,237.864,,,12.75,630.626,,,,84.833,,,,,,,11.16,,,,115.167,5.826,,,,116.629
0,480,,,,,,,10.301,,,,7.34,8.781,11.22,,7.447,9.836,,,,,,7.905,,,,5.173,,0.769,18.262,,,1.275,,,3.04,,,215.645,147.412,6.149,0.441,,,,,,,,,,,,,,1.148,9.69,2.083,1.658,44.37,,6.682,,,,,115.327,103.177,146.37,5.61,1.87,,2.295,16.923,,28.305,0.23,,,,,,,,,,,101.421,36.8,726.232,828.411,16.426,275.967,249.037,180.867,118.067,60.645,20.495,18.441,,,14.521,,88.013,,1473.799,9.894,,4.59,,,,,,,,,7.707,,1.36,,,,,,1.19,405.377,187.271,191.354,,23.109,299.315,3.13,452.73,,65.683,0.936,1.036,,,,,,,,,,29.205,4.216,1.02,,9.983,19.788,,,,230.004,203.654,3.721,,,0.744,0.833,1.7,0.675,1.11,382.097,967.106,180.285,212.524,38.83,3645.463,764.563,786.519,992.46,1412.396,373.32,,,3.06,581.755,,,,80.48,,,,,,,10.711,,,,198.859,6.315,,,,98.08
0,540,,,,,1.218,1.303,12.384,,,,6.545,7.486,5.355,,7.527,8.5,,,,,,8.16,,,,4.896,,0.754,18.286,,,1.53,,,3.091,,,328.44,268.786,5.898,0.441,,,,,,,,,,,,,,1.02,7.14,2.55,1.785,36.125,,6.836,,,,,115.869,103.256,181.56,1.19,1.572,,2.04,16.814,,2.635,0.292,,,,,,,,,,,104.113,36.885,719.31,833.158,16.426,273.305,247.178,183.448,119.845,77.195,21.466,19.382,,,18.095,,88.382,1.967,266.413,9.18,,7.286,,,,,,,,,7.258,,1.412,,,,,,1.258,288.223,193.758,172.474,2.55,17.416,307.984,3.034,433.223,,63.913,1.002,1.081,,,,,,,,,50.547,29.186,4.24,1.36,180.54,9.98,20.376,,,,197.623,234.383,2.057,,,0.754,0.829,1.428,0.67,1.056,378.593,189.975,134.258,218.863,32.385,4854.201,754.97,796.484,1005.72,1472.919,223.38,,,4.08,651.406,,,,77.103,,,,,,,10.449,,,,126.645,5.61,,,,80.389
